step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,type_encoded,anomaly_score,flagged
1467,TRANSFER,94036.34,99825.17,5788.83,13083.57,107119.91,1,4,-0.14873559002662984,True
1172,CASH_OUT,95176.94,95839.14,662.2,10495.9,105672.84,1,1,-0.1433337220072043,True
1492,TRANSFER,84682.62,97366.03,12683.41,15113.84,99796.46,1,4,-0.13976878219606081,True
319,TRANSFER,85797.26,88536.44,2739.18,32330.3,118127.56,1,4,-0.1377327731094029,True
1319,TRANSFER,84336.87,89313.83,4976.96,27862.59,112199.46,1,4,-0.137060957384758,True
1722,CASH_OUT,84677.4,94632.68,9955.28,43347.05,128024.45,1,1,-0.13182523686997993,True
185,TRANSFER,80150.9,87767.96,7617.06,44633.59,124784.49,1,4,-0.12842995337927587,True
1957,CASH_OUT,84485.61,97086.76,12601.15,7545.8,92031.41,1,1,-0.12748089454996492,True
180,TRANSFER,79834.43,84139.1,4304.67,1354.8,81189.23,1,4,-0.119646968021899,True
1344,CASH_OUT,63912.92,66181.56,2268.64,45756.94,109669.86,1,1,-0.11079691837801764,True
1529,CASH_OUT,64838.3,74153.9,9315.6,44751.69,109589.99,1,1,-0.10863351779209196,True
1652,TRANSFER,67101.82,71208.89,4107.07,37689.03,104790.85,1,4,-0.10624578191442924,True
239,TRANSFER,74109.55,83381.28,9271.73,9656.64,83766.19,1,4,-0.10480193668258286,True
1872,CASH_OUT,67654.21,72236.28,4582.07,35120.88,102775.09,1,1,-0.10140901578316885,True
1464,TRANSFER,53258.48,62239.93,8981.45,49729.71,102988.19,1,4,-0.09937002780627047,True
