step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,flagged,anomaly_score,verdict,reason
1172,CASH_OUT,95176.94,95839.14,662.2,10495.9,105672.84,1,1,-0.1377973613791221,BLOCK,"The sender transferred almost their entire account balance in one cash‑out, leaving only a tiny amount, which is a classic sign of a fraudulent drain."
5092,TRANSFER,94452.82,95209.22,756.4,34159.89,128612.71,1,1,-0.1264288393775154,BLOCK,"The sender transferred almost their entire account balance in one go, which is atypical behavior and highly risky. This, combined with an unusually low anomaly score, strongly suggests fraudulent activity."
4050,CASH_OUT,92936.29,94421.36,1485.07,34266.94,127203.23,1,1,-0.1240198849785128,BLOCK,"The sender moved almost their entire account balance in a single cash‑out, which is a classic sign of fraudulent activity. The transaction is highly unusual compared with normal behavior."
185,TRANSFER,80150.9,87767.96,7617.06,44633.59,124784.49,1,1,-0.1215650858468017,BLOCK,"The sender transferred over 90% of their entire balance in a single transaction, which is an extreme and atypical behavior, and the statistical model flags it as highly unusual."
319,TRANSFER,85797.26,88536.44,2739.18,32330.3,118127.56,1,1,-0.1208603304815023,BLOCK,"The sender transferred almost their entire account balance in one go, leaving only a tiny amount, which is a classic sign of a fraudulent drain. The transaction is also flagged as highly unusual by the model."
2301,CASH_OUT,85170.2,98944.0,13773.8,2302.26,87472.46,1,1,-0.1156339152615272,BLOCK,"The sender is moving almost all of their money in a single cash‑out and the recipient’s balance jumps from a few thousand to over eighty‑seven thousand, which is a clear sign of a potential fraud pattern."
4263,TRANSFER,69919.73,81763.81,11844.08,45320.76,115240.49,1,1,-0.1122467384969783,REVIEW,"The transfer moves an unusually large portion (over 85%) of the sender’s funds, which is atypical behavior and the statistical model flags it as highly unusual. It warrants a closer human check."
6267,CASH_OUT,83736.9,95325.17,11588.27,33660.18,117397.08,1,1,-0.1098334210077778,BLOCK,"The sender is moving almost 88% of their total balance in a single cash‑out, which is an extreme drain of funds and the model flags it as highly unusual. This pattern strongly suggests fraudulent activity."
7059,TRANSFER,79329.12,90549.5,11220.38,36393.82,115722.94,1,1,-0.108797827976428,BLOCK,"The sender moved almost 88% of their entire balance in a single transfer, which is highly unusual and suggests a likely fraudulent drain of funds."
1492,TRANSFER,84682.62,97366.03,12683.41,15113.84,99796.46,1,1,-0.0981783328743376,BLOCK,"The transfer moves 87% of the sender’s balance in a single transaction, leaving only a small amount behind, which is a typical sign of a fraudulent balance drain."
1464,TRANSFER,53258.48,62239.93,8981.45,49729.71,102988.19,1,1,-0.0929992843000251,BLOCK,"The sender moved over 85% of their total balance in a single transfer, which is an unusually large drain and a strong indicator of fraudulent activity."
