step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
0,CASH_IN,7471.66,19160.04,11688.38,29842.51,37314.17,0
1,CASH_OUT,7759.66,46465.64,38705.98,7143.34,14903.0,0
2,CASH_IN,40383.92,97021.08,56637.16,10616.96,51000.88,0
3,CASH_IN,19005.09,62130.67,43125.58,353.32,19358.41,0
4,CASH_OUT,52768.43,61573.44,8805.01,48687.78,101456.21,1
5,CASH_OUT,19106.18,38863.74,19757.56,23338.14,42444.32,0
6,CASH_IN,312.3,45599.43,45287.13,47110.09,47422.39,0
7,TRANSFER,1530.6,31156.76,29626.16,34211.65,35742.25,0
8,DEBIT,869.76,50022.51,49152.75,45466.02,46335.78,0
9,DEBIT,8289.33,31859.4,23570.07,27335.51,35624.84,0
10,TRANSFER,36518.06,77738.15,41220.09,44741.37,81259.43,0
11,DEBIT,897.75,5477.5,4579.75,19433.86,20331.61,0
12,CASH_IN,28518.03,59088.37,30570.34,30351.71,58869.74,0
13,CASH_IN,3006.84,80417.5,77410.66,49344.35,52351.19,0
14,DEBIT,221.45,30055.33,29833.88,9942.12,10163.57,0
15,CASH_OUT,2873.15,77355.76,74482.61,17923.29,20796.44,0
16,PAYMENT,10381.42,62706.51,52325.09,3177.92,13559.34,0
17,CASH_IN,23348.11,73231.01,49882.9,44360.64,67708.75,0
18,CASH_IN,41258.51,97199.5,55940.99,36086.48,77344.99,0
19,CASH_OUT,11282.24,52750.55,41468.31,1270.96,12553.2,0
20,PAYMENT,8172.87,32121.24,23948.37,45378.32,53551.19,0
21,CASH_IN,5535.73,54444.27,48908.54,47142.68,52678.41,0
22,CASH_OUT,7884.96,16960.91,9075.95,40406.02,48290.98,0
23,DEBIT,7523.51,80563.54,73040.03,44627.95,52151.46,0
24,TRANSFER,2337.82,13086.71,10748.89,45341.42,47679.24,0
25,CASH_OUT,17705.16,43283.67,25578.51,43036.53,60741.69,0
26,TRANSFER,40371.1,42323.69,1952.59,13470.62,53841.72,1
27,CASH_OUT,8564.1,32997.09,24432.99,35150.95,43715.05,0
28,PAYMENT,3233.91,26137.63,22903.72,34815.21,38049.12,0
29,CASH_IN,548.17,29199.21,28651.04,30478.22,31026.39,0
30,CASH_IN,11156.2,35162.05,24005.85,34035.27,45191.47,0
31,TRANSFER,11938.41,98579.39,86640.98,33606.78,45545.19,0
32,CASH_OUT,10030.71,24973.83,14943.12,23515.03,33545.74,0
33,CASH_OUT,32665.01,81826.76,49161.75,7535.88,40200.89,0
34,CASH_IN,14019.31,85977.52,71958.21,11012.05,25031.36,0
35,CASH_OUT,1717.03,35517.93,33800.9,47026.16,48743.19,0
36,TRANSFER,28359.69,83933.3,55573.61,36760.81,65120.5,0
37,TRANSFER,8760.14,26536.22,17776.08,40861.11,49621.25,0
38,DEBIT,13360.84,26822.09,13461.25,48270.97,61631.81,0
39,CASH_OUT,2751.58,19682.0,16930.42,35017.89,37769.47,0
40,DEBIT,34637.08,88821.56,54184.48,32101.58,66738.66,0
41,DEBIT,27280.16,89956.86,62676.7,459.85,27740.01,0
42,CASH_OUT,13833.08,97392.72,83559.64,15268.19,29101.27,0
43,CASH_OUT,7357.53,65544.16,58186.63,35608.96,42966.49,0
44,CASH_IN,3433.45,18703.45,15270.0,37208.53,40641.98,0
45,PAYMENT,13923.9,54711.48,40787.58,31816.63,45740.53,0
46,CASH_IN,22285.29,49187.47,26902.18,21719.72,44005.01,0
47,PAYMENT,14316.03,58113.48,43797.45,9762.15,24078.18,0
48,CASH_OUT,22147.59,57628.42,35480.83,2180.19,24327.78,0
49,CASH_IN,12668.91,28676.47,16007.56,37385.94,50054.85,0
50,CASH_IN,20972.02,43390.23,22418.21,48181.0,69153.02,0
51,CASH_IN,16651.71,39124.68,22472.97,15846.1,32497.81,0
52,PAYMENT,16917.25,40074.46,23157.21,46500.84,63418.09,0
53,TRANSFER,30635.2,61885.72,31250.52,7004.2,37639.4,0
54,TRANSFER,13975.94,32932.53,18956.59,6831.07,20807.01,0
55,CASH_IN,6376.92,30354.5,23977.58,12810.35,19187.27,0
56,DEBIT,12949.85,51622.9,38673.05,39914.76,52864.61,0
57,DEBIT,1235.56,88775.1,87539.54,28943.24,30178.8,0
58,CASH_OUT,12782.28,47094.2,34311.92,14327.06,27109.34,0
59,PAYMENT,1933.84,4697.47,2763.63,18009.53,19943.37,0
60,PAYMENT,11270.75,82959.03,71688.28,48262.59,59533.34,0
61,CASH_IN,4169.53,20243.62,16074.09,34975.61,39145.14,0
62,CASH_IN,34655.05,96984.15,62329.1,2053.38,36708.43,0
63,CASH_OUT,1753.23,44458.17,42704.94,1267.54,3020.77,0
64,PAYMENT,2021.8,69161.49,67139.69,45760.69,47782.49,0
65,PAYMENT,9295.34,66359.54,57064.2,47743.26,57038.6,0
66,CASH_IN,12921.17,61560.35,48639.18,12386.55,25307.72,0
67,CASH_IN,2211.07,12896.3,10685.23,4589.95,6801.02,0
68,DEBIT,167.35,18357.7,18190.35,38168.22,38335.57,0
69,DEBIT,3942.21,18146.99,14204.78,19925.24,23867.45,0
70,CASH_IN,11588.64,88781.36,77192.72,765.23,12353.87,0
71,PAYMENT,18606.42,54398.37,35791.95,30792.56,49398.98,0
72,TRANSFER,1065.75,3624.62,2558.87,47011.51,48077.26,0
73,TRANSFER,3720.02,57763.34,54043.32,40560.21,44280.23,0
74,DEBIT,18851.33,39224.16,20372.83,45267.53,64118.86,0
75,CASH_IN,4202.16,22244.32,18042.16,1948.16,6150.32,0
76,PAYMENT,12708.15,65916.54,53208.39,34080.68,46788.83,0
77,CASH_OUT,1716.51,28903.62,27187.11,34836.86,36553.37,0
78,CASH_IN,1025.49,4879.45,3853.96,48379.03,49404.52,0
79,CASH_IN,30383.64,75310.86,44927.22,49525.26,79908.9,0
80,TRANSFER,7479.17,25751.63,18272.46,43355.83,50835.0,0
81,DEBIT,16322.83,43470.41,27147.58,37727.14,54049.97,0
82,PAYMENT,13386.97,53898.42,40511.45,19480.9,32867.87,0
83,CASH_OUT,224.1,39530.97,39306.87,45269.1,45493.2,0
84,DEBIT,45181.01,95056.13,49875.12,28671.89,73852.9,0
85,CASH_IN,3039.89,10078.71,7038.82,27685.15,30725.04,0
86,CASH_IN,31336.65,79366.33,48029.68,4560.31,35896.96,0
87,TRANSFER,19846.42,44711.52,24865.1,17545.75,37392.17,0
88,DEBIT,28925.0,69114.97,40189.97,43343.44,72268.44,0
89,CASH_IN,4574.48,23035.07,18460.59,44594.85,49169.33,0
90,CASH_IN,4636.81,9398.93,4762.12,18713.54,23350.35,0
91,DEBIT,11089.23,24431.83,13342.6,29594.44,40683.67,0
92,DEBIT,3602.97,9266.57,5663.6,27920.21,31523.18,0
93,TRANSFER,7325.08,33695.0,26369.92,12684.11,20009.19,0
94,TRANSFER,28525.26,74356.41,45831.15,41139.52,69664.78,0
95,CASH_OUT,28265.89,58753.51,30487.62,18743.53,47009.42,0
96,PAYMENT,11142.92,23135.99,11993.07,607.72,11750.64,0
97,CASH_IN,724.51,32945.95,32221.44,46232.17,46956.68,0
98,DEBIT,27059.15,55831.57,28772.42,26154.89,53214.04,0
99,PAYMENT,18447.53,63128.25,44680.72,45057.9,63505.43,0
100,DEBIT,2784.33,95911.54,93127.21,19726.09,22510.42,0
101,CASH_IN,2685.15,28460.74,25775.59,23184.92,25870.07,0
102,TRANSFER,4930.12,27327.85,22397.73,12997.49,17927.61,0
103,PAYMENT,5906.0,28696.59,22790.59,30139.09,36045.09,0
104,CASH_IN,37501.98,91181.79,53679.81,47490.0,84991.98,0
105,PAYMENT,19777.34,42406.06,22628.72,43303.19,63080.53,0
106,PAYMENT,18735.46,77982.63,59247.17,49264.3,67999.76,0
107,TRANSFER,18772.12,38708.19,19936.07,42105.95,60878.07,0
108,TRANSFER,319.56,4645.36,4325.8,683.6,1003.16,0
109,DEBIT,40727.1,81477.2,40750.1,49831.84,90558.94,0
110,CASH_IN,27592.72,72885.96,45293.24,18892.53,46485.25,0
111,PAYMENT,6577.11,13786.78,7209.67,30308.73,36885.84,0
112,PAYMENT,1790.26,75942.91,74152.65,13433.62,15223.88,0
113,CASH_OUT,51182.25,52510.46,1328.21,15388.86,66571.11,1
114,DEBIT,24781.1,56532.86,31751.76,20174.14,44955.24,0
115,CASH_IN,21974.0,62410.65,40436.65,10648.21,32622.21,0
116,DEBIT,29820.23,98065.81,68245.58,31832.22,61652.45,0
117,CASH_OUT,15767.12,90511.71,74744.59,25699.47,41466.59,0
118,DEBIT,7989.17,30497.99,22508.82,34882.09,42871.26,0
119,TRANSFER,22822.58,92732.17,69909.59,12912.22,35734.8,0
120,TRANSFER,10856.2,62459.76,51603.56,10456.54,21312.74,0
